origin_abb,origin_num,dest_abb,dest_num,year,GDP_per_cap
ABW,533,ABW,533,1960,6472.502029
ABW,533,ABW,533,1961,6472.502029
ABW,533,ABW,533,1962,6472.502029
ABW,533,ABW,533,1963,6472.502029
ABW,533,ABW,533,1964,6472.502029
ABW,533,ABW,533,1965,6472.502029
ABW,533,ABW,533,1966,6472.502029
ABW,533,ABW,533,1967,6472.502029
ABW,533,ABW,533,1968,6472.502029
ABW,533,ABW,533,1969,6472.502029
ABW,533,ABW,533,1970,6472.502029
ABW,533,ABW,533,1971,6472.502029
ABW,533,ABW,533,1972,6472.502029
ABW,533,ABW,533,1973,6472.502029
ABW,533,ABW,533,1974,6472.502029
ABW,533,ABW,533,1975,6472.502029
ABW,533,ABW,533,1976,6472.502029
ABW,533,ABW,533,1977,6472.502029
ABW,533,ABW,533,1978,6472.502029
ABW,533,ABW,533,1979,6472.502029
ABW,533,ABW,533,1980,6472.502029
ABW,533,ABW,533,1981,6472.502029
ABW,533,ABW,533,1982,6472.502029
ABW,533,ABW,533,1983,6472.502029
ABW,533,ABW,533,1984,6472.502029
ABW,533,ABW,533,1985,6472.502029
ABW,533,ABW,533,1986,6472.502029
ABW,533,ABW,533,1987,7885.796545
ABW,533,ABW,533,1988,9764.789979
ABW,533,ABW,533,1989,11392.45581
ABW,533,ABW,533,1990,12307.31174
ABW,533,ABW,533,1991,13496.00339
ABW,533,ABW,533,1992,14046.504
ABW,533,ABW,533,1993,14936.82704
ABW,533,ABW,533,1994,16241.04632
ABW,533,ABW,533,1995,16439.35636
ABW,533,ABW,533,1996,16586.06844
ABW,533,ABW,533,1997,17927.74964
ABW,533,ABW,533,1998,19078.34319
ABW,533,ABW,533,1999,19356.20339
ABW,533,ABW,533,2000,20620.70063
ABW,533,ABW,533,2001,20669.03197
ABW,533,ABW,533,2002,20436.88713
ABW,533,ABW,533,2003,20833.76161
ABW,533,ABW,533,2004,22569.97499
ABW,533,ABW,533,2005,23300.03956
ABW,533,ABW,533,2006,24045.27248
ABW,533,ABW,533,2007,25835.13267
ABW,533,ABW,533,2008,27084.70369
ABW,533,ABW,533,2009,24630.45371
ABW,533,ABW,533,2010,23512.6026
ABW,533,ABW,533,2011,24985.99328
ABW,533,ABW,533,2012,24713.69805
ABW,533,ABW,533,2013,25025.09956
ABW,533,ABW,533,2014,25533.56978
ABW,533,ABW,533,2015,25796.38025
ABW,533,ABW,533,2016,25239.60041
ABW,533,ABW,533,2017,25630.26649
ABW,533,ABW,533,2018,NA
AFG,4,AFG,4,1960,59.77319384
AFG,4,AFG,4,1961,59.86087388
AFG,4,AFG,4,1962,58.45801495
AFG,4,AFG,4,1963,78.70638754
AFG,4,AFG,4,1964,82.09523071
AFG,4,AFG,4,1965,101.1083049
AFG,4,AFG,4,1966,137.5943521
AFG,4,AFG,4,1967,160.8985889
AFG,4,AFG,4,1968,129.1083231
AFG,4,AFG,4,1969,129.3297129
AFG,4,AFG,4,1970,156.5189394
AFG,4,AFG,4,1971,159.5675785
AFG,4,AFG,4,1972,135.3173083
