src_abb,src_num,tgt_abb,tgt_num,year,years_in_school
AFG,4,AFG,4,1870,0.01
AFG,4,AFG,4,1875,0.01
AFG,4,AFG,4,1880,0.01
AFG,4,AFG,4,1885,0.01
AFG,4,AFG,4,1890,0.01
AFG,4,AFG,4,1895,0.01
AFG,4,AFG,4,1900,0.01
AFG,4,AFG,4,1905,0.01
AFG,4,AFG,4,1910,0.01
AFG,4,AFG,4,1915,0.02
AFG,4,AFG,4,1920,0.03
AFG,4,AFG,4,1925,0.04
AFG,4,AFG,4,1930,0.04
AFG,4,AFG,4,1935,0.05
AFG,4,AFG,4,1940,0.06
AFG,4,AFG,4,1945,0.09
AFG,4,AFG,4,1950,0.13
AFG,4,AFG,4,1955,0.18
AFG,4,AFG,4,1960,0.22
AFG,4,AFG,4,1965,0.29
AFG,4,AFG,4,1970,0.35
AFG,4,AFG,4,1975,0.62
AFG,4,AFG,4,1980,0.78
AFG,4,AFG,4,1985,1.16
AFG,4,AFG,4,1990,1.49
AFG,4,AFG,4,1991,1.6
AFG,4,AFG,4,1992,1.6
AFG,4,AFG,4,1993,1.7
AFG,4,AFG,4,1994,1.8
AFG,4,AFG,4,1995,1.9
AFG,4,AFG,4,1996,1.9
AFG,4,AFG,4,1997,2
AFG,4,AFG,4,1998,2
AFG,4,AFG,4,1999,2.1
AFG,4,AFG,4,2000,2.2
AFG,4,AFG,4,2001,2.2
AFG,4,AFG,4,2002,2.3
AFG,4,AFG,4,2003,2.4
AFG,4,AFG,4,2004,2.5
AFG,4,AFG,4,2005,2.6
AFG,4,AFG,4,2006,2.7
AFG,4,AFG,4,2007,2.9
AFG,4,AFG,4,2008,3
AFG,4,AFG,4,2009,3.1
AFG,4,AFG,4,2010,3.2
AFG,4,AFG,4,2011,3.3
AFG,4,AFG,4,2012,3.4
AFG,4,AFG,4,2013,3.5
AFG,4,AFG,4,2014,3.5
AFG,4,AFG,4,2015,3.6
AFG,4,AFG,4,2016,3.6
AFG,4,AFG,4,2017,3.8
AFG,4,AFG,4,1871,0.01
AFG,4,AFG,4,1876,0.01
AFG,4,AFG,4,1881,0.01
AFG,4,AFG,4,1886,0.01
AFG,4,AFG,4,1891,0.01
AFG,4,AFG,4,1896,0.01
AFG,4,AFG,4,1901,0.01
AFG,4,AFG,4,1906,0.01
AFG,4,AFG,4,1911,0.012
AFG,4,AFG,4,1916,0.022
AFG,4,AFG,4,1921,0.032
AFG,4,AFG,4,1926,0.04
AFG,4,AFG,4,1931,0.042
AFG,4,AFG,4,1936,0.052
AFG,4,AFG,4,1941,0.066
