src_abb,src_num,tgt_abb,tgt_num,year,years_in_school
AFG,4,AFG,4,1950,0.13
AFG,4,AFG,4,1951,0.14
AFG,4,AFG,4,1952,0.15
AFG,4,AFG,4,1953,0.16
AFG,4,AFG,4,1954,0.17
AFG,4,AFG,4,1955,0.18
AFG,4,AFG,4,1956,0.188
AFG,4,AFG,4,1957,0.196
AFG,4,AFG,4,1958,0.204
AFG,4,AFG,4,1959,0.212
AFG,4,AFG,4,1960,0.22
AFG,4,AFG,4,1961,0.234
AFG,4,AFG,4,1962,0.248
AFG,4,AFG,4,1963,0.262
AFG,4,AFG,4,1964,0.276
AFG,4,AFG,4,1965,0.29
AFG,4,AFG,4,1966,0.302
AFG,4,AFG,4,1967,0.314
AFG,4,AFG,4,1968,0.326
AFG,4,AFG,4,1969,0.338
AFG,4,AFG,4,1970,0.35
AFG,4,AFG,4,1971,0.404
AFG,4,AFG,4,1972,0.458
AFG,4,AFG,4,1973,0.512
AFG,4,AFG,4,1974,0.566
AFG,4,AFG,4,1975,0.62
AFG,4,AFG,4,1976,0.652
AFG,4,AFG,4,1977,0.684
AFG,4,AFG,4,1978,0.716
AFG,4,AFG,4,1979,0.748
AFG,4,AFG,4,1980,0.78
AFG,4,AFG,4,1981,0.856
AFG,4,AFG,4,1982,0.932
AFG,4,AFG,4,1983,1.008
AFG,4,AFG,4,1984,1.084
AFG,4,AFG,4,1985,1.16
AFG,4,AFG,4,1986,1.226
AFG,4,AFG,4,1987,1.292
AFG,4,AFG,4,1988,1.358
AFG,4,AFG,4,1989,1.424
ALB,8,ALB,8,1950,2.31
ALB,8,ALB,8,1951,2.366
ALB,8,ALB,8,1952,2.422
ALB,8,ALB,8,1953,2.478
ALB,8,ALB,8,1954,2.534
ALB,8,ALB,8,1955,2.59
ALB,8,ALB,8,1956,2.536
ALB,8,ALB,8,1957,2.482
ALB,8,ALB,8,1958,2.428
ALB,8,ALB,8,1959,2.374
ALB,8,ALB,8,1960,2.32
ALB,8,ALB,8,1961,2.438
ALB,8,ALB,8,1962,2.556
ALB,8,ALB,8,1963,2.674
ALB,8,ALB,8,1964,2.792
ALB,8,ALB,8,1965,2.91
ALB,8,ALB,8,1966,2.99
ALB,8,ALB,8,1967,3.07
ALB,8,ALB,8,1968,3.15
ALB,8,ALB,8,1969,3.23
ALB,8,ALB,8,1970,3.31
ALB,8,ALB,8,1971,3.444
ALB,8,ALB,8,1972,3.578
ALB,8,ALB,8,1973,3.712
ALB,8,ALB,8,1974,3.846
ALB,8,ALB,8,1975,3.98
ALB,8,ALB,8,1976,4.174
ALB,8,ALB,8,1977,4.368
ALB,8,ALB,8,1978,4.562
ALB,8,ALB,8,1979,4.756
ALB,8,ALB,8,1980,4.95
ALB,8,ALB,8,1981,5.31
ALB,8,ALB,8,1982,5.67
ALB,8,ALB,8,1983,6.03
ALB,8,ALB,8,1984,6.39
ALB,8,ALB,8,1985,6.75
ALB,8,ALB,8,1986,6.966
ALB,8,ALB,8,1987,7.182
ALB,8,ALB,8,1988,7.398
ALB,8,ALB,8,1989,7.614
ARE,784,ARE,784,1950,0.66
ARE,784,ARE,784,1951,0.712
ARE,784,ARE,784,1952,0.764
ARE,784,ARE,784,1953,0.816
ARE,784,ARE,784,1954,0.868
ARE,784,ARE,784,1955,0.92
ARE,784,ARE,784,1956,1.012
ARE,784,ARE,784,1957,1.104
ARE,784,ARE,784,1958,1.196
ARE,784,ARE,784,1959,1.288
ARE,784,ARE,784,1960,1.38
ARE,784,ARE,784,1961,1.476
ARE,784,ARE,784,1962,1.572
ARE,784,ARE,784,1963,1.668
ARE,784,ARE,784,1964,1.764
ARE,784,ARE,784,1965,1.86
ARE,784,ARE,784,1966,1.966
ARE,784,ARE,784,1967,2.072
ARE,784,ARE,784,1968,2.178
ARE,784,ARE,784,1969,2.284
ARE,784,ARE,784,1970,2.39
ARE,784,ARE,784,1971,2.504
ARE,784,ARE,784,1972,2.618
ARE,784,ARE,784,1973,2.732
ARE,784,ARE,784,1974,2.846
ARE,784,ARE,784,1975,2.96
ARE,784,ARE,784,1976,3.086
ARE,784,ARE,784,1977,3.212
ARE,784,ARE,784,1978,3.338
