src_abb,src_num,tgt_abb,tgt_num,year,birth_rateper1000
ABW,533,ABW,533,1960,35.679
AFG,4,AFG,4,1960,51.279
AGO,24,AGO,24,1960,49.08
ALB,8,ALB,8,1960,40.924
ARE,784,ARE,784,1960,47.266
ARG,32,ARG,32,1960,23.775
ARM,51,ARM,51,1960,38.509
ATG,28,ATG,28,1960,32.829
AUS,36,AUS,36,1960,22.4
AUT,40,AUT,40,1960,17.9
AZE,31,AZE,31,1960,45.931
BDI,108,BDI,108,1960,48.51
BEL,56,BEL,56,1960,16.8
BEN,204,BEN,204,1960,44.304
BFA,854,BFA,854,1960,47.24
BGD,50,BGD,50,1960,48.34
BGR,100,BGR,100,1960,17.8
BHR,48,BHR,48,1960,45.934
BHS,44,BHS,44,1960,34.38
BIH,70,BIH,70,1960,31.504
BLR,112,BLR,112,1960,23.455
BLZ,84,BLZ,84,1960,44.967
BOL,68,BOL,68,1960,43.812
BRA,76,BRA,76,1960,42.28
BRB,52,BRB,52,1960,30.56
BRN,96,BRN,96,1960,45.211
BTN,64,BTN,64,1960,49.525
BWA,72,BWA,72,1960,47.281
CAF,140,CAF,140,1960,43.148
CAN,124,CAN,124,1960,26.7
CHE,756,CHE,756,1960,17.7
CHL,152,CHL,152,1960,35.556
CHN,156,CHN,156,1960,20.86
CIV,384,CIV,384,1960,54.472
CMR,120,CMR,120,1960,42.549
COD,180,COD,180,1960,46.651
COG,178,COG,178,1960,42.702
COL,170,COL,170,1960,46.11
COM,174,COM,174,1960,47.707
CPV,132,CPV,132,1960,47.987
CRI,188,CRI,188,1960,45.901
CUB,192,CUB,192,1960,32.046
CYP,196,CYP,196,1960,25.558
CZE,203,CZE,203,1960,13.4
DEU,276,DEU,276,1960,17.3
DJI,262,DJI,262,1960,43.595
DNK,208,DNK,208,1960,16.6
DOM,214,DOM,214,1960,51.887
DZA,12,DZA,12,1960,49.656
ECU,218,ECU,218,1960,44.277
EGY,818,EGY,818,1960,46.919
ERI,232,ERI,232,1960,48.763
ESP,724,ESP,724,1960,21.7
EST,233,EST,233,1960,16.7
ETH,231,ETH,231,1960,47.821
FIN,246,FIN,246,1960,18.5
FJI,242,FJI,242,1960,45.395
FRA,250,FRA,250,1960,18.7
FSM,583,FSM,583,1960,43.605
GAB,266,GAB,266,1960,32.464
GBR,826,GBR,826,1960,17.5
GEO,268,GEO,268,1960,25.078
GHA,288,GHA,288,1960,47.321
GIN,324,GIN,324,1960,46.034
GMB,270,GMB,270,1960,48.847
GNB,624,GNB,624,1960,42.388
GNQ,226,GNQ,226,1960,40.874
GRC,300,GRC,300,1960,18.9
GRD,308,GRD,308,1960,44.803
GTM,320,GTM,320,1960,48.399
GUM,316,GUM,316,1960,37.601
GUY,328,GUY,328,1960,43.02
HKG,344,HKG,344,1960,35.245
HND,340,HND,340,1960,49.949
HRV,191,HRV,191,1960,18.4
HTI,332,HTI,332,1960,44.233
HUN,348,HUN,348,1960,14.7
IDN,360,IDN,360,1960,44.549
IND,356,IND,356,1960,41.995
IRL,372,IRL,372,1960,21.5
IRN,364,IRN,364,1960,47.77
IRQ,368,IRQ,368,1960,42.164
ISL,352,ISL,352,1960,28
ISR,376,ISR,376,1960,26.9
ITA,380,ITA,380,1960,18.1
JAM,388,JAM,388,1960,40.594
JOR,400,JOR,400,1960,51.645
JPN,392,JPN,392,1960,17.3
KAZ,398,KAZ,398,1960,35.507
KEN,404,KEN,404,1960,51.156
KGZ,417,KGZ,417,1960,40.682
KHM,116,KHM,116,1960,46.626
KIR,296,KIR,296,1960,47.472
KOR,410,KOR,410,1960,42.277
KWT,414,KWT,414,1960,42.227
LAO,418,LAO,418,1960,43.308
LBN,422,LBN,422,1960,38.374
LBR,430,LBR,430,1960,48.761
LBY,434,LBY,434,1960,50.392
LCA,662,LCA,662,1960,48.988
LKA,144,LKA,144,1960,37.098
LSO,426,LSO,426,1960,43.113
LTU,440,LTU,440,1960,22.5
LUX,442,LUX,442,1960,16
LVA,428,LVA,428,1960,16.7
MAC,446,MAC,446,1960,30.46
MAR,504,MAR,504,1960,50.979
MDA,498,MDA,498,1960,27.698
MDG,450,MDG,450,1960,48.704
MDV,462,MDV,462,1960,54.707
MEX,484,MEX,484,1960,45.179
MKD,807,MKD,807,1960,29.665
MLI,466,MLI,466,1960,50.189
MLT,470,MLT,470,1960,26.2
MMR,104,MMR,104,1960,43.583
MNG,496,MNG,496,1960,45.987
MOZ,508,MOZ,508,1960,46.143
MRT,478,MRT,478,1960,49.341
MUS,480,MUS,480,1960,44.208
MWI,454,MWI,454,1960,51.405
MYS,458,MYS,458,1960,42.691
NAM,516,NAM,516,1960,42.17
NCL,540,NCL,540,1960,34
NER,562,NER,562,1960,58.122
NGA,566,NGA,566,1960,46.335
NIC,558,NIC,558,1960,51.819
NLD,528,NLD,528,1960,20.8
NOR,578,NOR,578,1960,17.3
NPL,524,NPL,524,1960,44.818
NZL,554,NZL,554,1960,26.5
OMN,512,OMN,512,1960,49.347
PAK,586,PAK,586,1960,44.111
PAN,591,PAN,591,1960,41.429
PER,604,PER,604,1960,46.923
PHL,608,PHL,608,1960,44.302
PNG,598,PNG,598,1960,42.434
POL,616,POL,616,1960,22.6
PRI,630,PRI,630,1960,32.4
PRK,408,PRK,408,1960,37.139
PRT,620,PRT,620,1960,24.1
PRY,600,PRY,600,1960,41.958
PSE,275,PSE,275,1960,
PYF,258,PYF,258,1960,41.275
QAT,634,QAT,634,1960,42.381
ROU,642,ROU,642,1960,19.1
RUS,643,RUS,643,1960,23.788
