"origin_abb","origin_num","dest_abb","dest_num","year","conttype"
NA,NA,"ABW",533,NA,NA
"CHN",156,"AFG",4,1920,1
"CHN",156,"AFG",4,1921,1
"CHN",156,"AFG",4,1922,1
"CHN",156,"AFG",4,1923,1
"CHN",156,"AFG",4,1924,1
"CHN",156,"AFG",4,1925,1
"CHN",156,"AFG",4,1926,1
"CHN",156,"AFG",4,1927,1
"CHN",156,"AFG",4,1928,1
"CHN",156,"AFG",4,1929,1
"CHN",156,"AFG",4,1930,1
"CHN",156,"AFG",4,1931,1
"CHN",156,"AFG",4,1932,1
"CHN",156,"AFG",4,1933,1
"CHN",156,"AFG",4,1934,1
"CHN",156,"AFG",4,1935,1
"CHN",156,"AFG",4,1936,1
"CHN",156,"AFG",4,1937,1
"CHN",156,"AFG",4,1938,1
"CHN",156,"AFG",4,1939,1
"CHN",156,"AFG",4,1940,1
"CHN",156,"AFG",4,1941,1
"CHN",156,"AFG",4,1942,1
"CHN",156,"AFG",4,1943,1
"CHN",156,"AFG",4,1944,1
"CHN",156,"AFG",4,1945,1
"CHN",156,"AFG",4,1946,1
"CHN",156,"AFG",4,1947,1
"CHN",156,"AFG",4,1948,1
"CHN",156,"AFG",4,1949,1
"CHN",156,"AFG",4,1950,1
"CHN",156,"AFG",4,1951,1
"CHN",156,"AFG",4,1952,1
"CHN",156,"AFG",4,1953,1
"CHN",156,"AFG",4,1954,1
"CHN",156,"AFG",4,1955,1
"CHN",156,"AFG",4,1956,1
"CHN",156,"AFG",4,1957,1
"CHN",156,"AFG",4,1958,1
"CHN",156,"AFG",4,1959,1
"CHN",156,"AFG",4,1960,1
"CHN",156,"AFG",4,1961,1
"CHN",156,"AFG",4,1962,1
"CHN",156,"AFG",4,1963,1
"CHN",156,"AFG",4,1964,1
"CHN",156,"AFG",4,1965,1
"CHN",156,"AFG",4,1966,1
"CHN",156,"AFG",4,1967,1
"CHN",156,"AFG",4,1968,1
"CHN",156,"AFG",4,1969,1
"CHN",156,"AFG",4,1970,1
"CHN",156,"AFG",4,1971,1
"CHN",156,"AFG",4,1972,1
"CHN",156,"AFG",4,1973,1
"CHN",156,"AFG",4,1974,1
"CHN",156,"AFG",4,1975,1
"CHN",156,"AFG",4,1976,1
"CHN",156,"AFG",4,1977,1
"CHN",156,"AFG",4,1978,1
"CHN",156,"AFG",4,1979,1
"CHN",156,"AFG",4,1980,1
"CHN",156,"AFG",4,1981,1
"CHN",156,"AFG",4,1982,1
"CHN",156,"AFG",4,1983,1
"CHN",156,"AFG",4,1984,1
"CHN",156,"AFG",4,1985,1
"CHN",156,"AFG",4,1986,1
"CHN",156,"AFG",4,1987,1
"CHN",156,"AFG",4,1988,1
"CHN",156,"AFG",4,1989,1
"CHN",156,"AFG",4,1990,1
"CHN",156,"AFG",4,1991,1
"CHN",156,"AFG",4,1992,1
"CHN",156,"AFG",4,1993,1
"CHN",156,"AFG",4,1994,1
"CHN",156,"AFG",4,1995,1
"CHN",156,"AFG",4,1996,1
"CHN",156,"AFG",4,1997,1
"CHN",156,"AFG",4,1998,1
"CHN",156,"AFG",4,1999,1
"CHN",156,"AFG",4,2000,1
"CHN",156,"AFG",4,2001,1
"CHN",156,"AFG",4,2002,1
"CHN",156,"AFG",4,2003,1
"CHN",156,"AFG",4,2004,1
"CHN",156,"AFG",4,2005,1
"CHN",156,"AFG",4,2006,1
"CHN",156,"AFG",4,2007,1
"CHN",156,"AFG",4,2008,1
"CHN",156,"AFG",4,2009,1
"CHN",156,"AFG",4,2010,1
"CHN",156,"AFG",4,2011,1
"CHN",156,"AFG",4,2012,1
"CHN",156,"AFG",4,2013,1
"CHN",156,"AFG",4,2014,1
"CHN",156,"AFG",4,2015,1
"CHN",156,"AFG",4,2016,1
"IRN",364,"AFG",4,1920,1
"IRN",364,"AFG",4,1921,1
"IRN",364,"AFG",4,1922,1
"IRN",364,"AFG",4,1923,1
"IRN",364,"AFG",4,1924,1
"IRN",364,"AFG",4,1925,1
"IRN",364,"AFG",4,1926,1
"IRN",364,"AFG",4,1927,1
"IRN",364,"AFG",4,1928,1
"IRN",364,"AFG",4,1929,1
"IRN",364,"AFG",4,1930,1
"IRN",364,"AFG",4,1931,1
"IRN",364,"AFG",4,1932,1
"IRN",364,"AFG",4,1933,1
"IRN",364,"AFG",4,1934,1
"IRN",364,"AFG",4,1935,1
"IRN",364,"AFG",4,1936,1
"IRN",364,"AFG",4,1937,1
"IRN",364,"AFG",4,1938,1
"IRN",364,"AFG",4,1939,1
"IRN",364,"AFG",4,1940,1
"IRN",364,"AFG",4,1941,1
"IRN",364,"AFG",4,1942,1
"IRN",364,"AFG",4,1943,1
"IRN",364,"AFG",4,1944,1
"IRN",364,"AFG",4,1945,1
"IRN",364,"AFG",4,1946,1
"IRN",364,"AFG",4,1947,1
"IRN",364,"AFG",4,1948,1
"IRN",364,"AFG",4,1949,1
"IRN",364,"AFG",4,1950,1
"IRN",364,"AFG",4,1951,1
"IRN",364,"AFG",4,1952,1
"IRN",364,"AFG",4,1953,1
"IRN",364,"AFG",4,1954,1
"IRN",364,"AFG",4,1955,1
"IRN",364,"AFG",4,1956,1
"IRN",364,"AFG",4,1957,1
"IRN",364,"AFG",4,1958,1
"IRN",364,"AFG",4,1959,1
"IRN",364,"AFG",4,1960,1
"IRN",364,"AFG",4,1961,1
"IRN",364,"AFG",4,1962,1
"IRN",364,"AFG",4,1963,1
"IRN",364,"AFG",4,1964,1
"IRN",364,"AFG",4,1965,1
"IRN",364,"AFG",4,1966,1
"IRN",364,"AFG",4,1967,1
"IRN",364,"AFG",4,1968,1
"IRN",364,"AFG",4,1969,1
"IRN",364,"AFG",4,1970,1
"IRN",364,"AFG",4,1971,1
"IRN",364,"AFG",4,1972,1
"IRN",364,"AFG",4,1973,1
"IRN",364,"AFG",4,1974,1
"IRN",364,"AFG",4,1975,1
"IRN",364,"AFG",4,1976,1
"IRN",364,"AFG",4,1977,1
"IRN",364,"AFG",4,1978,1
"IRN",364,"AFG",4,1979,1
"IRN",364,"AFG",4,1980,1
"IRN",364,"AFG",4,1981,1
"IRN",364,"AFG",4,1982,1
