,Rank ,Country,Risk_Level,Year,Extremely-high,High,Low,Low-medium,Medium-high,origin_abb,origin_numeric,destination_numeric,destination_abb
0,1,Qatar,Extremely-high,1900,1,0,0,0,0,QAT,634,634,QAT
1,1,Qatar,Extremely-high,1901,1,0,0,0,0,QAT,634,634,QAT
2,1,Qatar,Extremely-high,1902,1,0,0,0,0,QAT,634,634,QAT
3,1,Qatar,Extremely-high,1903,1,0,0,0,0,QAT,634,634,QAT
4,1,Qatar,Extremely-high,1904,1,0,0,0,0,QAT,634,634,QAT
5,1,Qatar,Extremely-high,1905,1,0,0,0,0,QAT,634,634,QAT
6,1,Qatar,Extremely-high,1906,1,0,0,0,0,QAT,634,634,QAT
7,1,Qatar,Extremely-high,1907,1,0,0,0,0,QAT,634,634,QAT
8,1,Qatar,Extremely-high,1908,1,0,0,0,0,QAT,634,634,QAT
9,1,Qatar,Extremely-high,1909,1,0,0,0,0,QAT,634,634,QAT
10,1,Qatar,Extremely-high,1910,1,0,0,0,0,QAT,634,634,QAT
11,1,Qatar,Extremely-high,1911,1,0,0,0,0,QAT,634,634,QAT
12,1,Qatar,Extremely-high,1912,1,0,0,0,0,QAT,634,634,QAT
13,1,Qatar,Extremely-high,1913,1,0,0,0,0,QAT,634,634,QAT
14,1,Qatar,Extremely-high,1914,1,0,0,0,0,QAT,634,634,QAT
15,1,Qatar,Extremely-high,1915,1,0,0,0,0,QAT,634,634,QAT
16,1,Qatar,Extremely-high,1916,1,0,0,0,0,QAT,634,634,QAT
17,1,Qatar,Extremely-high,1917,1,0,0,0,0,QAT,634,634,QAT
18,1,Qatar,Extremely-high,1918,1,0,0,0,0,QAT,634,634,QAT
19,1,Qatar,Extremely-high,1919,1,0,0,0,0,QAT,634,634,QAT
20,1,Qatar,Extremely-high,1920,1,0,0,0,0,QAT,634,634,QAT
21,1,Qatar,Extremely-high,1921,1,0,0,0,0,QAT,634,634,QAT
22,1,Qatar,Extremely-high,1922,1,0,0,0,0,QAT,634,634,QAT
23,1,Qatar,Extremely-high,1923,1,0,0,0,0,QAT,634,634,QAT
24,1,Qatar,Extremely-high,1924,1,0,0,0,0,QAT,634,634,QAT
25,1,Qatar,Extremely-high,1925,1,0,0,0,0,QAT,634,634,QAT
26,1,Qatar,Extremely-high,1926,1,0,0,0,0,QAT,634,634,QAT
27,1,Qatar,Extremely-high,1927,1,0,0,0,0,QAT,634,634,QAT
28,1,Qatar,Extremely-high,1928,1,0,0,0,0,QAT,634,634,QAT
29,1,Qatar,Extremely-high,1929,1,0,0,0,0,QAT,634,634,QAT
30,1,Qatar,Extremely-high,1930,1,0,0,0,0,QAT,634,634,QAT
31,1,Qatar,Extremely-high,1931,1,0,0,0,0,QAT,634,634,QAT
32,1,Qatar,Extremely-high,1932,1,0,0,0,0,QAT,634,634,QAT
33,1,Qatar,Extremely-high,1933,1,0,0,0,0,QAT,634,634,QAT
34,1,Qatar,Extremely-high,1934,1,0,0,0,0,QAT,634,634,QAT
35,1,Qatar,Extremely-high,1935,1,0,0,0,0,QAT,634,634,QAT
36,1,Qatar,Extremely-high,1936,1,0,0,0,0,QAT,634,634,QAT
37,1,Qatar,Extremely-high,1937,1,0,0,0,0,QAT,634,634,QAT
38,1,Qatar,Extremely-high,1938,1,0,0,0,0,QAT,634,634,QAT
39,1,Qatar,Extremely-high,1939,1,0,0,0,0,QAT,634,634,QAT
40,1,Qatar,Extremely-high,1940,1,0,0,0,0,QAT,634,634,QAT
41,1,Qatar,Extremely-high,1941,1,0,0,0,0,QAT,634,634,QAT
42,1,Qatar,Extremely-high,1942,1,0,0,0,0,QAT,634,634,QAT
43,1,Qatar,Extremely-high,1943,1,0,0,0,0,QAT,634,634,QAT
44,1,Qatar,Extremely-high,1944,1,0,0,0,0,QAT,634,634,QAT
45,1,Qatar,Extremely-high,1945,1,0,0,0,0,QAT,634,634,QAT
46,1,Qatar,Extremely-high,1946,1,0,0,0,0,QAT,634,634,QAT
47,1,Qatar,Extremely-high,1947,1,0,0,0,0,QAT,634,634,QAT
48,1,Qatar,Extremely-high,1948,1,0,0,0,0,QAT,634,634,QAT
49,1,Qatar,Extremely-high,1949,1,0,0,0,0,QAT,634,634,QAT
50,1,Qatar,Extremely-high,1950,1,0,0,0,0,QAT,634,634,QAT
51,1,Qatar,Extremely-high,1951,1,0,0,0,0,QAT,634,634,QAT
52,1,Qatar,Extremely-high,1952,1,0,0,0,0,QAT,634,634,QAT
53,1,Qatar,Extremely-high,1953,1,0,0,0,0,QAT,634,634,QAT
54,1,Qatar,Extremely-high,1954,1,0,0,0,0,QAT,634,634,QAT
55,1,Qatar,Extremely-high,1955,1,0,0,0,0,QAT,634,634,QAT
56,1,Qatar,Extremely-high,1956,1,0,0,0,0,QAT,634,634,QAT
57,1,Qatar,Extremely-high,1957,1,0,0,0,0,QAT,634,634,QAT
58,1,Qatar,Extremely-high,1958,1,0,0,0,0,QAT,634,634,QAT
59,1,Qatar,Extremely-high,1959,1,0,0,0,0,QAT,634,634,QAT
60,1,Qatar,Extremely-high,1960,1,0,0,0,0,QAT,634,634,QAT
61,1,Qatar,Extremely-high,1961,1,0,0,0,0,QAT,634,634,QAT
62,1,Qatar,Extremely-high,1962,1,0,0,0,0,QAT,634,634,QAT
63,1,Qatar,Extremely-high,1963,1,0,0,0,0,QAT,634,634,QAT
64,1,Qatar,Extremely-high,1964,1,0,0,0,0,QAT,634,634,QAT
65,1,Qatar,Extremely-high,1965,1,0,0,0,0,QAT,634,634,QAT
66,1,Qatar,Extremely-high,1966,1,0,0,0,0,QAT,634,634,QAT
67,1,Qatar,Extremely-high,1967,1,0,0,0,0,QAT,634,634,QAT
68,1,Qatar,Extremely-high,1968,1,0,0,0,0,QAT,634,634,QAT
69,1,Qatar,Extremely-high,1969,1,0,0,0,0,QAT,634,634,QAT
70,1,Qatar,Extremely-high,1970,1,0,0,0,0,QAT,634,634,QAT
71,1,Qatar,Extremely-high,1971,1,0,0,0,0,QAT,634,634,QAT
72,1,Qatar,Extremely-high,1972,1,0,0,0,0,QAT,634,634,QAT
73,1,Qatar,Extremely-high,1973,1,0,0,0,0,QAT,634,634,QAT
74,1,Qatar,Extremely-high,1974,1,0,0,0,0,QAT,634,634,QAT
75,1,Qatar,Extremely-high,1975,1,0,0,0,0,QAT,634,634,QAT
76,1,Qatar,Extremely-high,1976,1,0,0,0,0,QAT,634,634,QAT
77,1,Qatar,Extremely-high,1977,1,0,0,0,0,QAT,634,634,QAT
78,1,Qatar,Extremely-high,1978,1,0,0,0,0,QAT,634,634,QAT
79,1,Qatar,Extremely-high,1979,1,0,0,0,0,QAT,634,634,QAT
80,1,Qatar,Extremely-high,1980,1,0,0,0,0,QAT,634,634,QAT
81,1,Qatar,Extremely-high,1981,1,0,0,0,0,QAT,634,634,QAT
82,1,Qatar,Extremely-high,1982,1,0,0,0,0,QAT,634,634,QAT
83,1,Qatar,Extremely-high,1983,1,0,0,0,0,QAT,634,634,QAT
84,1,Qatar,Extremely-high,1984,1,0,0,0,0,QAT,634,634,QAT
85,1,Qatar,Extremely-high,1985,1,0,0,0,0,QAT,634,634,QAT
86,1,Qatar,Extremely-high,1986,1,0,0,0,0,QAT,634,634,QAT
87,1,Qatar,Extremely-high,1987,1,0,0,0,0,QAT,634,634,QAT
88,1,Qatar,Extremely-high,1988,1,0,0,0,0,QAT,634,634,QAT
89,1,Qatar,Extremely-high,1989,1,0,0,0,0,QAT,634,634,QAT
90,1,Qatar,Extremely-high,1990,1,0,0,0,0,QAT,634,634,QAT
91,1,Qatar,Extremely-high,1991,1,0,0,0,0,QAT,634,634,QAT
92,1,Qatar,Extremely-high,1992,1,0,0,0,0,QAT,634,634,QAT
93,1,Qatar,Extremely-high,1993,1,0,0,0,0,QAT,634,634,QAT
94,1,Qatar,Extremely-high,1994,1,0,0,0,0,QAT,634,634,QAT
95,1,Qatar,Extremely-high,1995,1,0,0,0,0,QAT,634,634,QAT
96,1,Qatar,Extremely-high,1996,1,0,0,0,0,QAT,634,634,QAT
97,1,Qatar,Extremely-high,1997,1,0,0,0,0,QAT,634,634,QAT
98,1,Qatar,Extremely-high,1998,1,0,0,0,0,QAT,634,634,QAT
99,1,Qatar,Extremely-high,1999,1,0,0,0,0,QAT,634,634,QAT
100,1,Qatar,Extremely-high,2000,1,0,0,0,0,QAT,634,634,QAT
101,1,Qatar,Extremely-high,2001,1,0,0,0,0,QAT,634,634,QAT
102,1,Qatar,Extremely-high,2002,1,0,0,0,0,QAT,634,634,QAT
103,1,Qatar,Extremely-high,2003,1,0,0,0,0,QAT,634,634,QAT
104,1,Qatar,Extremely-high,2004,1,0,0,0,0,QAT,634,634,QAT
105,1,Qatar,Extremely-high,2005,1,0,0,0,0,QAT,634,634,QAT
106,1,Qatar,Extremely-high,2006,1,0,0,0,0,QAT,634,634,QAT
107,1,Qatar,Extremely-high,2007,1,0,0,0,0,QAT,634,634,QAT
108,1,Qatar,Extremely-high,2008,1,0,0,0,0,QAT,634,634,QAT
109,1,Qatar,Extremely-high,2009,1,0,0,0,0,QAT,634,634,QAT
110,1,Qatar,Extremely-high,2010,1,0,0,0,0,QAT,634,634,QAT
111,1,Qatar,Extremely-high,2011,1,0,0,0,0,QAT,634,634,QAT
112,1,Qatar,Extremely-high,2012,1,0,0,0,0,QAT,634,634,QAT
113,1,Qatar,Extremely-high,2013,1,0,0,0,0,QAT,634,634,QAT
114,1,Qatar,Extremely-high,2014,1,0,0,0,0,QAT,634,634,QAT
115,1,Qatar,Extremely-high,2015,1,0,0,0,0,QAT,634,634,QAT
