"src_abb","src_num","tgt_abb","tgt_num","year","intensity_level"
"IRQ",368,"ARE",784,1991,2
"IRQ",368,"ARG",32,1991,2
"CHN",156,"AUS",36,1950,2
"CHN",156,"AUS",36,1951,2
"CHN",156,"AUS",36,1952,2
"CHN",156,"AUS",36,1953,2
"IRQ",368,"AUS",36,1991,2
"PRK",408,"AUS",36,1950,2
"PRK",408,"AUS",36,1951,2
"PRK",408,"AUS",36,1952,2
"PRK",408,"AUS",36,1953,2
"RUS",643,"AUS",36,1950,2
"RUS",643,"AUS",36,1951,2
"RUS",643,"AUS",36,1952,2
"RUS",643,"AUS",36,1953,2
"CHN",156,"BEL",56,1951,2
"CHN",156,"BEL",56,1952,2
"CHN",156,"BEL",56,1953,2
"IRQ",368,"BEL",56,1991,2
"PRK",408,"BEL",56,1951,2
"PRK",408,"BEL",56,1952,2
"PRK",408,"BEL",56,1953,2
"RUS",643,"BEL",56,1951,2
"RUS",643,"BEL",56,1952,2
"RUS",643,"BEL",56,1953,2
"IRQ",368,"BGD",50,1991,2
"IRQ",368,"BHR",48,1991,2
"CHN",156,"CAN",124,1950,2
"CHN",156,"CAN",124,1951,2
"CHN",156,"CAN",124,1952,2
"CHN",156,"CAN",124,1953,2
"IRQ",368,"CAN",124,1991,2
"PRK",408,"CAN",124,1950,2
"PRK",408,"CAN",124,1951,2
"PRK",408,"CAN",124,1952,2
"PRK",408,"CAN",124,1953,2
"RUS",643,"CAN",124,1950,2
"RUS",643,"CAN",124,1951,2
"RUS",643,"CAN",124,1952,2
"RUS",643,"CAN",124,1953,2
"CHN",156,"COL",170,1951,2
"CHN",156,"COL",170,1952,2
"CHN",156,"COL",170,1953,2
"PRK",408,"COL",170,1951,2
"PRK",408,"COL",170,1952,2
"PRK",408,"COL",170,1953,2
"RUS",643,"COL",170,1951,2
"RUS",643,"COL",170,1952,2
"RUS",643,"COL",170,1953,2
"IRQ",368,"DNK",208,1991,2
"IRQ",368,"EGY",818,1991,2
"DJI",262,"ERI",232,2008,1
"IRQ",368,"ESP",724,1991,2
"CHN",156,"ETH",231,1951,2
"CHN",156,"ETH",231,1952,2
"CHN",156,"ETH",231,1953,2
"ERI",232,"ETH",231,1998,2
"ERI",232,"ETH",231,1999,2
"ERI",232,"ETH",231,2000,2
"ERI",232,"ETH",231,2016,1
"PRK",408,"ETH",231,1951,2
"PRK",408,"ETH",231,1952,2
"PRK",408,"ETH",231,1953,2
"RUS",643,"ETH",231,1951,2
"RUS",643,"ETH",231,1952,2
"RUS",643,"ETH",231,1953,2
"CHN",156,"FRA",250,1950,2
"CHN",156,"FRA",250,1951,2
"CHN",156,"FRA",250,1952,2
"CHN",156,"FRA",250,1953,2
"EGY",818,"FRA",250,1956,2
"IRQ",368,"FRA",250,1991,2
"PRK",408,"FRA",250,1950,2
"PRK",408,"FRA",250,1951,2
"PRK",408,"FRA",250,1952,2
"PRK",408,"FRA",250,1953,2
"RUS",643,"FRA",250,1950,2
"RUS",643,"FRA",250,1951,2
"RUS",643,"FRA",250,1952,2
"RUS",643,"FRA",250,1953,2
"AFG",4,"GBR",826,2001,2
"ALB",8,"GBR",826,1946,1
"ARG",32,"GBR",826,1982,1
"CHN",156,"GBR",826,1950,2
"CHN",156,"GBR",826,1951,2
"CHN",156,"GBR",826,1952,2
"CHN",156,"GBR",826,1953,2
"EGY",818,"GBR",826,1956,2
"EGY",818,"GBR",826,1951,1
"EGY",818,"GBR",826,1952,1
"IDN",360,"GBR",826,1963,1
"IDN",360,"GBR",826,1964,1
"IDN",360,"GBR",826,1965,1
"IDN",360,"GBR",826,1966,1
"IRQ",368,"GBR",826,1991,2
"PRK",408,"GBR",826,1950,2
"PRK",408,"GBR",826,1951,2
"PRK",408,"GBR",826,1952,2
"PRK",408,"GBR",826,1953,2
"RUS",643,"GBR",826,1950,2
"RUS",643,"GBR",826,1951,2
"RUS",643,"GBR",826,1952,2
"RUS",643,"GBR",826,1953,2
"CHN",156,"GRC",300,1950,2
"CHN",156,"GRC",300,1951,2
"CHN",156,"GRC",300,1952,2
"CHN",156,"GRC",300,1953,2
"IRQ",368,"GRC",300,1991,2
"PRK",408,"GRC",300,1950,2
"PRK",408,"GRC",300,1951,2
"PRK",408,"GRC",300,1952,2
"PRK",408,"GRC",300,1953,2
"RUS",643,"GRC",300,1950,2
"RUS",643,"GRC",300,1951,2
"RUS",643,"GRC",300,1952,2
"RUS",643,"GRC",300,1953,2
"IRQ",368,"HND",340,1991,2
"SLV",222,"HND",340,1969,2
"CHN",156,"IND",356,1962,2
"CHN",156,"IND",356,1967,1
"AUS",36,"IRQ",368,2003,2
"GBR",826,"IRQ",368,2003,2
"IRN",364,"IRQ",368,1974,1
"IRN",364,"IRQ",368,1980,2
"IRN",364,"IRQ",368,1981,2
"IRN",364,"IRQ",368,1982,2
"IRN",364,"IRQ",368,1983,2
"IRN",364,"IRQ",368,1984,2
"IRN",364,"IRQ",368,1985,2
"IRN",364,"IRQ",368,1986,2
"IRN",364,"IRQ",368,1987,2
"IRN",364,"IRQ",368,1988,2
"USA",840,"IRQ",368,2003,2
"EGY",818,"ISR",376,1956,2
"EGY",818,"ISR",376,1948,2
"EGY",818,"ISR",376,1949,1
"EGY",818,"ISR",376,1967,2
"EGY",818,"ISR",376,1969,1
"EGY",818,"ISR",376,1970,1
"EGY",818,"ISR",376,1973,2
"IRN",364,"ISR",376,2018,1
"IRQ",368,"ISR",376,1948,2
"IRQ",368,"ISR",376,1949,1
"JOR",400,"ISR",376,1948,2
"JOR",400,"ISR",376,1949,1
"LBN",422,"ISR",376,1948,2
"LBN",422,"ISR",376,1949,1
"SYR",760,"ISR",376,1948,2
"SYR",760,"ISR",376,1949,1
"IRQ",368,"ITA",380,1991,2
"ISR",376,"JOR",400,1967,2
"CHN",156,"KOR",410,1950,2
"CHN",156,"KOR",410,1951,2
