Country,Year,CINC
2,1948,0.2946597
20,1948,0.0125928
40,1948,0.0017359
41,1948,0.0004093
42,1948,0.0005684
70,1948,0.0066099
90,1948,0.0006688
91,1948,0.0001638
92,1948,0.0002847
93,1948,0.000143
94,1948,0.000089
95,1948,0.0000781
100,1948,0.002628
101,1948,0.0013442
130,1948,0.0008852
135,1948,0.0017403
140,1948,0.0121925
145,1948,0.0006092
150,1948,0.0004179
155,1948,0.0020532
160,1948,0.0082709
165,1948,0.000819
200,1948,0.075426
205,1948,0.0009568
210,1948,0.0083195
211,1948,0.0109084
212,1948,0.0029497
220,1948,0.0325886
225,1948,0.0019677
230,1948,0.0148603
235,1948,0.0026259
290,1948,0.0298539
310,1948,0.0041569
315,1948,0.0126014
325,1948,0.0192622
339,1948,0.0008609
345,1948,0.0080174
350,1948,0.0035732
355,1948,0.0031112
360,1948,0.0054891
365,1948,0.1639996
375,1948,0.001916
380,1948,0.0059829
385,1948,0.0015807
390,1948,0.0020571
395,1948,0.0000126
450,1948,0.0001402
530,1948,0.0022585
560,1948,0.0052241
630,1948,0.0042677
640,1948,0.0117226
645,1948,0.001297
651,1948,0.0053934
652,1948,0.000855
660,1948,0.0003211
663,1948,0.000219
666,1948,0.0014135
670,1948,0.0011293
678,1948,0.0005736
700,1948,0.0023342
710,1948,0.1150552
712,1948,0.0003635
731,1948,0.0036134
750,1948,0.0524505
770,1948,0.0118022
775,1948,0.0022862
780,1948,0.0008769
790,1948,0.0010616
800,1948,0.0033879
840,1948,0.0033156
900,1948,0.0083341
920,1948,0.0008759
2,1949,0.2731664
20,1949,0.0128127
40,1949,0.0017947
41,1949,0.0003886
42,1949,0.0005328
70,1949,0.0064611
90,1949,0.0006353
91,1949,0.000151
92,1949,0.0002748
93,1949,0.0002156
94,1949,0.0000669
95,1949,0.0000755
100,1949,0.0025652
101,1949,0.0019895
130,1949,0.0007252
135,1949,0.0017164
140,1949,0.013096
145,1949,0.0006552
150,1949,0.0003954
155,1949,0.0020182
160,1949,0.0084501
165,1949,0.0008731
200,1949,0.0707876
205,1949,0.0009136
210,1949,0.0080646
211,1949,0.0094229
212,1949,0.0027704
220,1949,0.0354923
225,1949,0.0018529
230,1949,0.0138226
235,1949,0.0024621
290,1949,0.0336278
310,1949,0.0044192
315,1949,0.012613
325,1949,0.018569
339,1949,0.0008375
345,1949,0.0071594
350,1949,0.0040129
355,1949,0.0031785
360,1949,0.0056833
365,1949,0.1679179
375,1949,0.0017144
380,1949,0.0059543
385,1949,0.001609
390,1949,0.002082
395,1949,0.0000124
450,1949,0.0001312
530,1949,0.0021795
560,1949,0.0051927
630,1949,0.0043231
640,1949,0.0106011
645,1949,0.0012939
651,1949,0.0056365
652,1949,0.0009875
660,1949,0.000321
663,1949,0.0002796
666,1949,0.0012883
670,1949,0.0012833
678,1949,0.0005342
700,1949,0.0019794
710,1949,0.1040504
712,1949,0.0002771
713,1949,0.0170915
731,1949,0.0024644
732,1949,0.0043721
750,1949,0.0514099
770,1949,0.0113594
775,1949,0.0022247
780,1949,0.0008545
790,1949,0.001075
800,1949,0.0032198
840,1949,0.0032414
850,1949,0.0135849
900,1949,0.0074437
920,1949,0.000797
2,1950,0.284443
20,1950,0.0126052
40,1950,0.0016774
41,1950,0.000366
42,1950,0.000497
70,1950,0.0066975
90,1950,0.0006368
91,1950,0.0001518
92,1950,0.0002811
93,1950,0.0002147
94,1950,0.0000683
95,1950,0.0001521
100,1950,0.0026284
101,1950,0.0040756
130,1950,0.0007083
135,1950,0.0017364
140,1950,0.0127369
145,1950,0.000554
150,1950,0.000331
155,1950,0.0021001
160,1950,0.0080032
165,1950,0.0007782
200,1950,0.0613487
205,1950,0.000972
210,1950,0.0081174
211,1950,0.0082221
212,1950,0.0025657
220,1950,0.0332216
225,1950,0.0019312
230,1950,0.0131124
235,1950,0.0023414
290,1950,0.0169267
310,1950,0.0048075
315,1950,0.0124651
325,1950,0.017447
339,1950,0.0007516
345,1950,0.0082214
350,1950,0.0035524
355,1950,0.0032881
360,1950,0.0065532
365,1950,0.1805985
375,1950,0.0013902
380,1950,0.004946
385,1950,0.0012103
390,1950,0.0017324
395,1950,0.0000128
450,1950,0.0001341
530,1950,0.00231
560,1950,0.0050475
630,1950,0.0062025
640,1950,0.0101971
645,1950,0.0013108
651,1950,0.005485
652,1950,0.0011539
660,1950,0.0003554
663,1950,0.0002914
666,1950,0.0013319
670,1950,0.0013792
678,1950,0.0005159
700,1950,0.0016056
710,1950,0.1184953
712,1950,0.0002841
713,1950,0.0047817
731,1950,0.0026702
732,1950,0.0047363
750,1950,0.0495623
770,1950,0.0112781
775,1950,0.0021584
780,1950,0.0008679
790,1950,0.0008714
800,1950,0.0031574
840,1950,0.0032433
850,1950,0.0179285
900,1950,0.0068384
920,1950,0.0007284
2,1951,0.3194995
20,1951,0.0135349
40,1951,0.0017869
41,1951,0.0003586
42,1951,0.0005092
70,1951,0.0067985
90,1951,0.0006012
91,1951,0.0001473
92,1951,0.000282
93,1951,0.000214
94,1951,0.0000691
95,1951,0.0001693
100,1951,0.0026144
101,1951,0.0045294
130,1951,0.0006765
135,1951,0.0017284
140,1951,0.0124063
145,1951,0.0006149
150,1951,0.0003226
155,1951,0.0020661
160,1951,0.0075661
165,1951,0.0008519
200,1951,0.0585345
205,1951,0.0009253
210,1951,0.0076385
211,1951,0.0091781
212,1951,0.0029105
220,1951,0.0329915
225,1951,0.0018854
230,1951,0.0125144
235,1951,0.0021546
290,1951,0.0142594
310,1951,0.0051205
315,1951,0.0115531
325,1951,0.0181058
339,1951,0.0006305
345,1951,0.0075596
350,1951,0.0030119
355,1951,0.0030832
360,1951,0.0068208
365,1951,0.1731629
375,1951,0.0014146
380,1951,0.0046549
385,1951,0.0012012
390,1951,0.0018308
395,1951,0.0000128
450,1951,0.0001287
530,1951,0.0023075
560,1951,0.0050591
620,1951,0.0001258
630,1951,0.0053488
640,1951,0.0080912
645,1951,0.0013278
651,1951,0.0053701
652,1951,0.0011001
660,1951,0.0003541
663,1951,0.0002829
666,1951,0.0012251
670,1951,0.0012478
678,1951,0.000495
700,1951,0.0014054
710,1951,0.1036244
712,1951,0.0002837
713,1951,0.0062187
731,1951,0.0022304
732,1951,0.0053688
750,1951,0.0489489
770,1951,0.0109415
775,1951,0.0021439
780,1951,0.0008723
790,1951,0.0008492
800,1951,0.003081
840,1951,0.0032308
850,1951,0.0146574
900,1951,0.0068841
920,1951,0.0006889
2,1952,0.3113674
20,1952,0.0142037
40,1952,0.0014931
41,1952,0.0003405
42,1952,0.0004895
70,1952,0.0065768
90,1952,0.0004484
91,1952,0.0001411
92,1952,0.0002698
93,1952,0.0002052
94,1952,0.0000716
95,1952,0.0001602
100,1952,0.0025595
101,1952,0.0046837
130,1952,0.0006489
135,1952,0.0016797
140,1952,0.0119829
145,1952,0.0005162
150,1952,0.0002869
155,1952,0.0020471
160,1952,0.0072042
165,1952,0.0007085
200,1952,0.0575083
205,1952,0.0008529
210,1952,0.0073166
211,1952,0.0090424
212,1952,0.0027811
220,1952,0.033362
225,1952,0.0017988
230,1952,0.0118938
235,1952,0.0020012
290,1952,0.014722
310,1952,0.0052081
315,1952,0.0109378
325,1952,0.0176917
339,1952,0.0006292
345,1952,0.0067708
350,1952,0.0028355
355,1952,0.0028586
360,1952,0.0069433
365,1952,0.1701986
375,1952,0.0012978
380,1952,0.0046514
385,1952,0.0011634
390,1952,0.0017071
395,1952,0.0000123
450,1952,0.0001224
530,1952,0.002219
560,1952,0.0051601
620,1952,0.0001203
630,1952,0.0039461
640,1952,0.0076161
645,1952,0.0013117
651,1952,0.0051005
652,1952,0.0010593
660,1952,0.000339
663,1952,0.0003174
666,1952,0.001098
670,1952,0.001255
678,1952,0.0004703
700,1952,0.0013305
710,1952,0.096398
712,1952,0.0004078
713,1952,0.0058161
731,1952,0.0031201
732,1952,0.0061631
740,1952,0.029541
750,1952,0.0468616
770,1952,0.0103833
775,1952,0.0020677
780,1952,0.000835
790,1952,0.0008068
800,1952,0.0029386
840,1952,0.0031129
850,1952,0.0123392
900,1952,0.0067069
920,1952,0.0006928
2,1953,0.3111584
20,1953,0.0142198
40,1953,0.0014937
41,1953,0.0003472
42,1953,0.0004563
70,1953,0.0065432
90,1953,0.000448
91,1953,0.000141
92,1953,0.000272
93,1953,0.0002076
94,1953,0.0000726
95,1953,0.0001978
100,1953,0.0027105
101,1953,0.0048665
130,1953,0.0006525
135,1953,0.001699
140,1953,0.0122666
145,1953,0.0005225
150,1953,0.0003275
155,1953,0.002445
160,1953,0.0073377
165,1953,0.0006995
200,1953,0.0560323
205,1953,0.0008281
210,1953,0.0072993
211,1953,0.0079596
212,1953,0.0022205
220,1953,0.0317597
225,1953,0.001677
230,1953,0.0114808
235,1953,0.0019595
290,1953,0.014944
310,1953,0.0052974
315,1953,0.0108007
325,1953,0.0173133
339,1953,0.0005644
345,1953,0.0065921
350,1953,0.0027944
355,1953,0.0028967
360,1953,0.0072789
365,1953,0.1731209
375,1953,0.001248
380,1953,0.0044951
385,1953,0.0011837
390,1953,0.0016726
395,1953,0.0000123
450,1953,0.0001221
530,1953,0.0022216
560,1953,0.0050161
620,1953,0.0001832
630,1953,0.0039396
640,1953,0.0069248
645,1953,0.0013845
651,1953,0.0051271
652,1953,0.0010775
660,1953,0.0003562
663,1953,0.0003183
666,1953,0.0010859
670,1953,0.001411
678,1953,0.0004686
700,1953,0.0011815
710,1953,0.0951003
712,1953,0.000409
713,1953,0.0067028
731,1953,0.0035673
732,1953,0.0075858
740,1953,0.0302281
750,1953,0.046692
770,1953,0.0102736
775,1953,0.0021117
780,1953,0.0008373
790,1953,0.0009573
800,1953,0.0029603
811,1953,0.0008855
812,1953,0.0003944
840,1953,0.0031277
850,1953,0.0114027
900,1953,0.0069382
920,1953,0.0006822
2,1954,0.2809401
20,1954,0.0133411
40,1954,0.0016421
41,1954,0.0003419
42,1954,0.000454
70,1954,0.0065471
