Country,Year,NucCap
2,1948,5
20,1948,1
31,1948,1
40,1948,1
41,1948,1
42,1948,1
51,1948,1
52,1948,1
53,1948,1
54,1948,1
55,1948,1
56,1948,1
57,1948,1
58,1948,1
60,1948,1
70,1948,1
80,1948,1
90,1948,1
91,1948,1
92,1948,1
93,1948,1
94,1948,1
95,1948,1
100,1948,1
101,1948,1
110,1948,1
115,1948,1
130,1948,1
135,1948,1
140,1948,1
145,1948,1
150,1948,1
155,1948,1
160,1948,1
165,1948,1
200,1948,1
205,1948,1
210,1948,1
211,1948,1
212,1948,1
220,1948,1
221,1948,1
223,1948,1
225,1948,1
230,1948,1
232,1948,1
235,1948,1
255,1948,1
290,1948,1
305,1948,1
310,1948,1
316,1948,1
317,1948,1
325,1948,1
338,1948,1
339,1948,1
341,1948,1
343,1948,1
344,1948,1
345,1948,1
346,1948,1
347,1948,1
349,1948,1
350,1948,1
352,1948,1
355,1948,1
359,1948,1
360,1948,1
365,1948,1
366,1948,1
367,1948,1
368,1948,1
369,1948,1
370,1948,1
371,1948,1
372,1948,1
373,1948,1
375,1948,1
380,1948,1
385,1948,1
390,1948,1
395,1948,1
402,1948,1
403,1948,1
404,1948,1
411,1948,1
420,1948,1
432,1948,1
433,1948,1
434,1948,1
435,1948,1
436,1948,1
437,1948,1
438,1948,1
439,1948,1
450,1948,1
451,1948,1
452,1948,1
461,1948,1
471,1948,1
475,1948,1
481,1948,1
482,1948,1
483,1948,1
484,1948,1
490,1948,1
500,1948,1
501,1948,1
510,1948,1
511,1948,1
516,1948,1
517,1948,1
520,1948,1
522,1948,1
530,1948,1
531,1948,1
540,1948,1
541,1948,1
551,1948,1
552,1948,1
553,1948,1
560,1948,1
565,1948,1
570,1948,1
571,1948,1
572,1948,1
580,1948,1
581,1948,1
590,1948,1
591,1948,1
600,1948,1
615,1948,1
616,1948,1
620,1948,1
625,1948,1
626,1948,1
630,1948,1
640,1948,1
645,1948,1
651,1948,1
652,1948,1
660,1948,1
663,1948,1
666,1948,1
670,1948,1
679,1948,1
690,1948,1
692,1948,1
694,1948,1
696,1948,1
698,1948,1
700,1948,1
701,1948,1
702,1948,1
703,1948,1
704,1948,1
705,1948,1
710,1948,1
712,1948,1
713,1948,1
730,1948,1
731,1948,1
732,1948,1
740,1948,1
750,1948,1
760,1948,1
770,1948,1
771,1948,1
775,1948,1
780,1948,1
781,1948,1
790,1948,1
800,1948,1
811,1948,1
812,1948,1
816,1948,1
817,1948,1
820,1948,1
830,1948,1
835,1948,1
840,1948,1
850,1948,1
860,1948,1
900,1948,1
910,1948,1
920,1948,1
935,1948,1
940,1948,1
946,1948,1
947,1948,1
950,1948,1
955,1948,1
970,1948,1
983,1948,1
986,1948,1
987,1948,1
990,1948,1
2,1949,5
20,1949,1
31,1949,1
40,1949,1
41,1949,1
42,1949,1
51,1949,1
52,1949,1
53,1949,1
54,1949,1
55,1949,1
56,1949,1
57,1949,1
58,1949,1
60,1949,1
70,1949,1
80,1949,1
90,1949,1
91,1949,1
92,1949,1
93,1949,1
94,1949,1
95,1949,1
