Country,Year,Weapons
2,1948,1
20,1948,0
31,1948,0
40,1948,0
41,1948,0
42,1948,0
51,1948,0
52,1948,0
53,1948,0
54,1948,0
55,1948,0
56,1948,0
57,1948,0
58,1948,0
60,1948,0
70,1948,0
80,1948,0
90,1948,0
91,1948,0
92,1948,0
93,1948,0
94,1948,0
95,1948,0
100,1948,0
101,1948,0
110,1948,0
115,1948,0
130,1948,0
135,1948,0
140,1948,0
145,1948,0
150,1948,0
155,1948,0
160,1948,0
165,1948,0
200,1948,0
205,1948,0
210,1948,0
211,1948,0
212,1948,0
220,1948,0
221,1948,0
223,1948,0
225,1948,0
230,1948,0
232,1948,0
235,1948,0
255,1948,0
290,1948,0
305,1948,0
310,1948,0
316,1948,0
317,1948,0
325,1948,0
338,1948,0
339,1948,0
341,1948,0
343,1948,0
344,1948,0
345,1948,0
346,1948,0
347,1948,0
349,1948,0
350,1948,0
352,1948,0
355,1948,0
359,1948,0
360,1948,0
365,1948,0
366,1948,0
367,1948,0
368,1948,0
369,1948,0
370,1948,0
371,1948,0
372,1948,0
373,1948,0
375,1948,0
380,1948,0
385,1948,0
390,1948,0
395,1948,0
402,1948,0
403,1948,0
404,1948,0
411,1948,0
420,1948,0
432,1948,0
433,1948,0
434,1948,0
435,1948,0
436,1948,0
437,1948,0
438,1948,0
439,1948,0
450,1948,0
451,1948,0
452,1948,0
461,1948,0
471,1948,0
475,1948,0
481,1948,0
482,1948,0
483,1948,0
484,1948,0
490,1948,0
500,1948,0
501,1948,0
510,1948,0
511,1948,0
516,1948,0
517,1948,0
520,1948,0
522,1948,0
530,1948,0
531,1948,0
540,1948,0
541,1948,0
551,1948,0
552,1948,0
553,1948,0
560,1948,0
565,1948,0
570,1948,0
571,1948,0
572,1948,0
580,1948,0
581,1948,0
590,1948,0
591,1948,0
600,1948,0
615,1948,0
616,1948,0
620,1948,0
625,1948,0
626,1948,0
630,1948,0
640,1948,0
645,1948,0
651,1948,0
652,1948,0
660,1948,0
663,1948,0
666,1948,0
670,1948,0
679,1948,0
690,1948,0
692,1948,0
694,1948,0
696,1948,0
698,1948,0
700,1948,0
701,1948,0
702,1948,0
703,1948,0
704,1948,0
705,1948,0
710,1948,0
712,1948,0
713,1948,0
730,1948,0
731,1948,0
732,1948,0
740,1948,0
750,1948,0
760,1948,0
770,1948,0
771,1948,0
775,1948,0
780,1948,0
781,1948,0
790,1948,0
800,1948,0
811,1948,0
812,1948,0
816,1948,0
817,1948,0
820,1948,0
830,1948,0
835,1948,0
840,1948,0
850,1948,0
860,1948,0
900,1948,0
910,1948,0
920,1948,0
935,1948,0
940,1948,0
946,1948,0
947,1948,0
950,1948,0
955,1948,0
970,1948,0
983,1948,0
986,1948,0
987,1948,0
990,1948,0
2,1949,1
20,1949,0
31,1949,0
40,1949,0
41,1949,0
42,1949,0
51,1949,0
52,1949,0
53,1949,0
54,1949,0
55,1949,0
56,1949,0
57,1949,0
58,1949,0
60,1949,0
70,1949,0
80,1949,0
90,1949,0
91,1949,0
92,1949,0
93,1949,0
94,1949,0
95,1949,0
100,1949,0
101,1949,0
110,1949,0
115,1949,0
130,1949,0
135,1949,0
140,1949,0
145,1949,0
150,1949,0
155,1949,0
160,1949,0
165,1949,0
200,1949,0
205,1949,0
210,1949,0
211,1949,0
212,1949,0
220,1949,0
221,1949,0
223,1949,0
225,1949,0
230,1949,0
232,1949,0
235,1949,0
255,1949,0
290,1949,0
305,1949,0
310,1949,0
316,1949,0
317,1949,0
325,1949,0
338,1949,0
339,1949,0
341,1949,0
343,1949,0
