Country,Year,Weapons
2,1946,3
2,1947,3
2,1948,3
2,1949,3
2,1950,3
2,1951,3
2,1952,3
2,1953,3
2,1954,3
2,1955,3
2,1956,3
2,1957,3
2,1958,3
2,1959,3
2,1960,3
2,1961,3
2,1962,3
2,1963,3
2,1964,3
2,1965,3
2,1966,3
2,1967,3
2,1968,3
2,1969,3
2,1970,3
2,1971,3
2,1972,3
2,1973,3
2,1974,3
2,1975,3
2,1976,3
2,1977,3
2,1978,3
2,1979,3
2,1980,3
2,1981,3
2,1982,3
2,1983,3
2,1984,3
2,1985,3
2,1986,3
2,1987,3
2,1988,3
2,1989,3
2,1990,3
2,1991,3
2,1992,3
2,1993,3
2,1994,3
2,1995,3
2,1996,3
2,1997,3
2,1998,3
2,1999,3
2,2000,3
20,1945,0
20,1946,0
20,1947,0
20,1948,0
20,1949,0
20,1950,0
20,1951,0
20,1952,0
20,1953,0
20,1954,0
20,1955,0
20,1956,0
20,1957,0
20,1958,0
20,1959,0
20,1960,0
20,1961,0
20,1962,0
20,1963,0
20,1964,0
20,1965,0
20,1966,0
20,1967,0
20,1968,0
20,1969,0
20,1970,0
20,1971,0
20,1972,0
20,1973,0
20,1974,0
20,1975,0
20,1976,0
20,1977,0
20,1978,0
20,1979,0
20,1980,0
20,1981,0
20,1982,0
20,1983,0
20,1984,0
20,1985,0
20,1986,0
20,1987,0
20,1988,0
20,1989,0
20,1990,0
20,1991,0
20,1992,0
20,1993,0
20,1994,0
20,1995,0
20,1996,0
20,1997,0
20,1998,0
20,1999,0
20,2000,0
31,1973,0
31,1974,0
31,1975,0
31,1976,0
31,1977,0
31,1978,0
31,1979,0
31,1980,0
31,1981,0
31,1982,0
31,1983,0
31,1984,0
31,1985,0
31,1986,0
31,1987,0
31,1988,0
31,1989,0
31,1990,0
31,1991,0
31,1992,0
31,1993,0
31,1994,0
31,1995,0
31,1996,0
31,1997,0
31,1998,0
31,1999,0
31,2000,0
40,1945,0
40,1946,0
40,1947,0
40,1948,0
40,1949,0
40,1950,0
40,1951,0
40,1952,0
40,1953,0
40,1954,0
40,1955,0
40,1956,0
40,1957,0
40,1958,0
40,1959,0
40,1960,0
40,1961,0
40,1962,0
40,1963,0
40,1964,0
40,1965,0
40,1966,0
40,1967,0
40,1968,0
40,1969,0
40,1970,0
40,1971,0
40,1972,0
40,1973,0
40,1974,0
40,1975,0
40,1976,0
40,1977,0
40,1978,0
40,1979,0
40,1980,0
40,1981,0
40,1982,0
40,1983,0
40,1984,0
40,1985,0
40,1986,0
40,1987,0
40,1988,0
40,1989,0
40,1990,0
40,1991,0
40,1992,0
40,1993,0
40,1994,0
40,1995,0
40,1996,0
40,1997,0
40,1998,0
40,1999,0
40,2000,0
41,1945,0
41,1946,0
41,1947,0
41,1948,0
41,1949,0
41,1950,0
41,1951,0
41,1952,0
41,1953,0
41,1954,0
41,1955,0
41,1956,0
41,1957,0
41,1958,0
41,1959,0
41,1960,0
41,1961,0
41,1962,0
41,1963,0
41,1964,0
41,1965,0
41,1966,0
41,1967,0
41,1968,0
41,1969,0
41,1970,0
41,1971,0
41,1972,0
41,1973,0
41,1974,0
41,1975,0
41,1976,0
41,1977,0
41,1978,0
41,1979,0
41,1980,0
41,1981,0
41,1982,0
41,1983,0
41,1984,0
41,1985,0
41,1986,0
41,1987,0
41,1988,0
41,1989,0
41,1990,0
41,1991,0
41,1992,0
41,1993,0
41,1994,0
41,1995,0
41,1996,0
41,1997,0
41,1998,0
41,1999,0
41,2000,0
42,1945,0
42,1946,0
42,1947,0
42,1948,0
42,1949,0
42,1950,0
42,1951,0
42,1952,0
42,1953,0
42,1954,0
42,1955,0
42,1956,0
42,1957,0
42,1958,0
42,1959,0
42,1960,0
42,1961,0
42,1962,0
42,1963,0
42,1964,0
42,1965,0
42,1966,0
42,1967,0
42,1968,0
42,1969,0
42,1970,0
42,1971,0
42,1972,0
42,1973,0
42,1974,0
42,1975,0
42,1976,0
42,1977,0
42,1978,0
42,1979,0
42,1980,0
42,1981,0
42,1982,0
42,1983,0
42,1984,0
42,1985,0
42,1986,0
42,1987,0
42,1988,0
42,1989,0
42,1990,0
42,1991,0
42,1992,0
42,1993,0
42,1994,0
42,1995,0
42,1996,0
42,1997,0
42,1998,0
42,1999,0
42,2000,0
51,1962,0
51,1963,0
51,1964,0
51,1965,0
51,1966,0
51,1967,0
51,1968,0
51,1969,0
51,1970,0
51,1971,0
51,1972,0
51,1973,0
51,1974,0
51,1975,0
51,1976,0
51,1977,0
51,1978,0
51,1979,0
51,1980,0
51,1981,0
51,1982,0
51,1983,0
51,1984,0
51,1985,0
51,1986,0
51,1987,0
51,1988,0
51,1989,0
51,1990,0
51,1991,0
51,1992,0
51,1993,0
51,1994,0
51,1995,0
51,1996,0
51,1997,0
51,1998,0
51,1999,0
51,2000,0
52,1962,0
52,1963,0
52,1964,0
52,1965,0
52,1966,0
52,1967,0
52,1968,0
52,1969,0
52,1970,0
52,1971,0
52,1972,0
52,1973,0
52,1974,0
52,1975,0
52,1976,0
52,1977,0
52,1978,0
52,1979,0
52,1980,0
52,1981,0
52,1982,0
52,1983,0
52,1984,0
52,1985,0
52,1986,0
52,1987,0
52,1988,0
52,1989,0
52,1990,0
52,1991,0
52,1992,0
52,1993,0
52,1994,0
52,1995,0
52,1996,0
52,1997,0
52,1998,0
52,1999,0
52,2000,0
53,1966,0
53,1967,0
53,1968,0
53,1969,0
53,1970,0
53,1971,0
53,1972,0
53,1973,0
53,1974,0
53,1975,0
53,1976,0
53,1977,0
53,1978,0
53,1979,0
53,1980,0
53,1981,0
53,1982,0
53,1983,0
53,1984,0
53,1985,0
53,1986,0
53,1987,0
53,1988,0
53,1989,0
53,1990,0
53,1991,0
53,1992,0
53,1993,0
53,1994,0
53,1995,0
53,1996,0
53,1997,0
53,1998,0
53,1999,0
53,2000,0
54,1978,0
54,1979,0
54,1980,0
54,1981,0
54,1982,0
54,1983,0
54,1984,0
54,1985,0
54,1986,0
54,1987,0
54,1988,0
54,1989,0
54,1990,0
54,1991,0
54,1992,0
54,1993,0
54,1994,0
54,1995,0
54,1996,0
54,1997,0
54,1998,0
54,1999,0
54,2000,0
55,1974,0
55,1975,0
55,1976,0
55,1977,0
55,1978,0
55,1979,0
55,1980,0
55,1981,0
55,1982,0
55,1983,0
55,1984,0
55,1985,0
55,1986,0
55,1987,0
55,1988,0
55,1989,0
55,1990,0
55,1991,0
55,1992,0
55,1993,0
55,1994,0
55,1995,0
55,1996,0
55,1997,0
55,1998,0
55,1999,0
55,2000,0
56,1979,0
56,1980,0
56,1981,0
56,1982,0
56,1983,0
56,1984,0
56,1985,0
56,1986,0
56,1987,0
