,Country,year,Conflict,Alliance,Trade,NCA
0,2,1948,4,160,0.0004953,-5
1,2,1949,12,248,0.0004888,-5
2,2,1950,14,248,0.05272669,0
3,2,1951,25,288,0.0637101,0
4,2,1952,14,289,0.0625448,0
5,2,1953,18,297,0.0618244,0
6,2,1954,22,320,0.0583464,3
7,2,1955,16,328,0.0600739,27
8,2,1956,18,328,0.0682727,39
9,2,1957,14,328,0.0694582,51
10,2,1958,26,328,0.0628379,63
11,2,1959,18,330,0.0630222,69
12,2,1960,14,332,0.06711325,81
13,2,1961,29,332,0.06591346,85
14,2,1962,29,340,0.0660061,97
15,2,1963,20,337,0.06623428,100
16,2,1964,25,337,0.06983493,124
17,2,1965,18,329,0.06979711,154
18,2,1966,22,329,0.07350026,163
19,2,1967,23,345,0.07235195,173
20,2,1968,20,345,0.07701849,179
21,2,1969,20,353,0.07773737,191
22,2,1970,18,354,0.08196188,200
23,2,1971,15,349,0.08127744,203
24,2,1972,15,349,0.08663826,209
25,2,1973,12,342,0.10264736,215
26,2,1974,5,342,0.13566079,224
27,2,1975,10,382,0.1271354,227
28,2,1976,13,387,0.13165622,240
29,2,1977,9,395,0.13370921,247
30,2,1978,6,387,0.13881413,259
31,2,1979,19,403,0.15247028,271
32,2,1980,10,402,0.16668896,279
33,2,1981,17,412,0.15856876,287
34,2,1982,9,420,0.1416362,300
35,2,1983,28,420,0.13154536,321
36,2,1984,19,428,0.14065878,332
37,2,1985,19,428,0.13750846,355
38,2,1986,15,428,0.13508851,374
39,2,1987,17,420,0.14126736,401
40,2,1988,19,420,0.15010294,410
41,2,1989,12,420,0.15498179,417
42,2,1990,9,428,0.15254384,423
43,2,1991,11,444,0.15058665,389
44,2,1992,9,451,0.14681901,393
45,2,1993,11,463,-5,397
46,2,1994,14,467,-5,401
47,2,1995,7,467,-5,427
48,2,1996,16,467,-5,438
49,2,1997,14,485,-5,454
50,2,1998,15,487,-5,464
51,2,1999,15,487,-5,476
52,516,1948,-5,-5,-5,-5
