period,year0,name,alpha3,b,d,net
1990--1995,1990,Burundi,BDI,1370.436,521.302,-302.498
1990--1995,1990,Comoros,COM,90.496,23.7,-3
1990--1995,1990,Djibouti,DJI,118.584,33.592,-45
1990--1995,1990,Eritrea,ERI,610.675,233.825,-400.002
1990--1995,1990,Ethiopia,ETH,12302.081,4553.99,1475.274
1990--1995,1990,Kenya,KEN,5098.98,1376.601,221.569
1990--1995,1990,Madagascar,MDG,2767.059,880.794,-9.5
1990--1995,1990,Malawi,MWI,2281.997,871.555,-938.9
1990--1995,1990,Mauritius,MUS,111.518,33.096,-5.611
1990--1995,1990,Mayotte,MYT,19.678,2.01,10.734
1990--1995,1990,Mozambique,MOZ,3332.082,1470.6,650
1990--1995,1990,Reunion,REU,70.601,17.23,9.589
1990--1995,1990,Rwanda,RWA,1475.584,1435.434,-1347.866
1990--1995,1990,Seychelles,SYC,8.143,2.692,0.625
1990--1995,1990,Somalia,SOM,1869.581,755.819,-806.214
1990--1995,1990,South Sudan,SSD,1307.696,540.657,-1076
1990--1995,1990,Uganda,UGA,4760.607,1769.221,119.995
1990--1995,1990,United Republic of Tanzania,TZA,6003.173,2093.287,591.285
1990--1995,1990,Zambia,ZMB,1931.032,798.256,-22.952
1990--1995,1990,Zimbabwe,ZWE,1922.075,584.837,-199.997
1990--1995,1990,Angola,AGO,3427.399,1472.656,142.811
1990--1995,1990,Cameroon,CMR,2745.388,951.614,-48
1990--1995,1990,Central African Republic,CAF,638.627,275.642,50
1990--1995,1990,Chad,TCD,1661.802,607.569,-10.374
1990--1995,1990,Congo,COG,499.23,162.962,22.53
1990--1995,1990,Democratic Republic of the Congo,COD,8781.9,3103.145,1302.404
1990--1995,1990,Equatorial Guinea,GNQ,96.813,38.787,20.004
1990--1995,1990,Gabon,GAB,184.976,56.048,4.999
1990--1995,1990,Sao Tome and Principe,STP,24.025,5.864,-5.599
1990--1995,1990,Algeria,DZA,3950.963,830.348,-128.679
1990--1995,1990,Egypt,EGY,9129.037,2366.466,-460.404
1990--1995,1990,Libya,LBY,622.569,114.401,3.965
1990--1995,1990,Morocco,MAR,3563.336,900.611,-466.627
1990--1995,1990,Sudan,SDN,4602.168,1300.259,653.484
1990--1995,1990,Tunisia,TUN,991.884,251.05,140.341
1990--1995,1990,Western Sahara,ESH,37.129,10.751,12
1990--1995,1990,Botswana,BWA,235.136,61.82,17.864
1990--1995,1990,Lesotho,LSO,288.48,84.719,-46.345
1990--1995,1990,Namibia,NAM,283.172,65.999,23.492
1990--1995,1990,South Africa,ZAF,5428.553,1640.416,739.5
1990--1995,1990,Swaziland,SWZ,179.883,42.223,-38.243
1990--1995,1990,Benin,BEN,1231.625,372.822,68.259
1990--1995,1990,Burkina Faso,BFA,2227.497,798.653,-150.001
1990--1995,1990,Cabo Verde,CPV,67.996,14.385,-6.376
1990--1995,1990,Cote d'Ivoire,CIV,2847.68,949.618,375
1990--1995,1990,Gambia,GMB,232.435,68.224,-14.801
1990--1995,1990,Ghana,GHA,2959.155,810.657,-16.285
1990--1995,1990,Guinea,GIN,1591.312,561.233,800
1990--1995,1990,Guinea-Bissau,GNB,242.375,87.537,-29.999
1990--1995,1990,Liberia,LBR,460.103,183.859,-300
1990--1995,1990,Mali,MLI,2210.745,897.993,-173.489
1990--1995,1990,Mauritania,MRT,439.198,112.272,-29.997
1990--1995,1990,Niger,NER,2415.536,948.383,-2.679
1990--1995,1990,Nigeria,NGA,22231.869,9394.617,-95.769
1990--1995,1990,Senegal,SEN,1713.061,452.062,-70.008
1990--1995,1990,Sierra Leone,SLE,1002.95,590.366,-450
1990--1995,1990,Togo,TGO,821.69,239.603,-95
1990--1995,1990,China,CHN,109689.675,40375.938,-902.123
1990--1995,1990,"China, Hong Kong SAR",HKG,368.455,166.299,156.486
1990--1995,1990,"China, Macao SAR",MAC,27.556,7.659,21.845
1990--1995,1990,Dem. People's Republic of Korea,PRK,2180.41,611.165,0
1990--1995,1990,Japan,JPN,6170.188,4356.569,46.286
1990--1995,1990,Mongolia,MNG,307.883,105.558,-88.432
1990--1995,1990,Republic of Korea,KOR,3530.116,1226.138,71.504
1990--1995,1990,Kazakhstan,KAZ,1680.2,773.763,-1411.744
1990--1995,1990,Kyrgyzstan,KGZ,655.033,185.586,-276.249
1990--1995,1990,Tajikistan,TJK,1034.029,263.789,-289.263
1990--1995,1990,Turkmenistan,TKM,650.265,170.025,43.633
1990--1995,1990,Uzbekistan,UZB,3539.669,816.09,-322.777
1990--1995,1990,Afghanistan,AFG,3570.874,1047.923,2327.473
1990--1995,1990,Bangladesh,BGD,18554.837,5238.449,-798.161
1990--1995,1990,Bhutan,BTN,94.529,31.045,-85.887
1990--1995,1990,India,IND,137429.722,46527.474,-552.935
1990--1995,1990,Iran (Islamic Republic of),IRN,8194.74,1749.273,-2096.003
1990--1995,1990,Maldives,MDV,42.867,8.933,-3.072
